"prob.","density","avgSpeed","Flow"
"0.400000","0.280000","1.294119","7.257600"
"0.400000","0.290000","1.237000","7.180400"
"0.400000","0.300000","1.177393","7.047600"
"0.400000","0.310000","1.121853","6.995600"
"0.400000","0.320000","1.074525","6.888000"
"0.400000","0.330000","1.023238","6.758400"
"0.400000","0.340000","0.981535","6.680800"
"0.400000","0.350000","0.939321","6.550800"
"0.400000","0.360000","0.897612","6.445600"
"0.400000","0.370000","0.861619","6.371200"
"0.400000","0.380000","0.825588","6.261600"
"0.400000","0.390000","0.790536","6.170000"
"0.400000","0.400000","0.759560","6.072000"
"0.400000","0.410000","0.729695","5.986000"
"0.400000","0.420000","0.699757","5.886800"
"0.400000","0.430000","0.671767","5.796000"
"0.400000","0.440000","0.645364","5.670400"
"0.400000","0.450000","0.618959","5.567600"
"0.400000","0.460000","0.595659","5.482000"
"0.400000","0.470000","0.572214","5.384000"
"0.400000","0.480000","0.550142","5.293200"
"0.400000","0.490000","0.528961","5.183200"
"0.400000","0.500000","0.508146","5.088800"
"0.400000","0.510000","0.489261","4.990400"
"0.400000","0.520000","0.470058","4.906000"
"0.400000","0.530000","0.452455","4.794400"
"0.400000","0.540000","0.435219","4.706000"
"0.400000","0.550000","0.418050","4.598800"
"0.400000","0.560000","0.402393","4.502000"
"0.400000","0.570000","0.387050","4.425600"
"0.400000","0.580000","0.372468","4.312000"
"0.400000","0.590000","0.357949","4.216400"
"0.400000","0.600000","0.344518","4.142000"
"0.400000","0.610000","0.331219","4.038400"
"0.400000","0.620000","0.317817","3.939600"
"0.400000","0.630000","0.305105","3.856800"
"0.400000","0.640000","0.293293","3.755600"
"0.400000","0.650000","0.281562","3.658800"
"0.400000","0.660000","0.269737","3.574800"
"0.400000","0.670000","0.258592","3.471200"
"0.400000","0.680000","0.248031","3.376800"
"0.400000","0.690000","0.237491","3.276800"
"0.400000","0.700000","0.227189","3.174400"
"0.400000","0.710000","0.217258","3.078000"
"0.400000","0.720000","0.207578","2.990400"
"0.400000","0.730000","0.197889","2.895200"
"0.400000","0.740000","0.189034","2.792800"
"0.400000","0.750000","0.179882","2.702000"
"0.400000","0.760000","0.170794","2.598000"
"0.400000","0.770000","0.162459","2.500000"
"0.400000","0.780000","0.153761","2.401200"
"0.400000","0.790000","0.145579","2.296000"
"0.400000","0.800000","0.133226","2.209600"
"0.400000","0.810000","0.125570","2.126800"
"0.400000","0.820000","0.118169","2.010400"
"0.400000","0.830000","0.110659","1.924400"
"0.400000","0.840000","0.103318","1.817200"
"0.400000","0.850000","0.096221","1.716400"
"0.400000","0.860000","0.089172","1.614000"
"0.400000","0.870000","0.082073","1.522000"
"0.400000","0.880000","0.075346","1.414800"
"0.400000","0.890000","0.068634","1.307600"
"0.400000","0.900000","0.061996","1.186800"
"0.400000","0.910000","0.055449","1.071200"
"0.400000","0.920000","0.049028","0.957600"
"0.400000","0.930000","0.042825","0.837600"
"0.400000","0.940000","0.036430","0.718400"
"0.400000","0.950000","0.030106","0.599200"
"0.400000","0.960000","0.024096","0.481200"
"0.400000","0.970000","0.018055","0.360000"
"0.400000","0.980000","0.012017","0.241600"
"0.400000","0.990000","0.005988","0.122400"
"0.600000","0.010000","4.398880","0.878800"
"0.600000","0.020000","4.400244","1.761200"
"0.600000","0.030000","4.397688","2.639200"
"0.600000","0.040000","4.393292","3.516400"
"0.600000","0.050000","4.388318","4.383200"
"0.600000","0.060000","4.380864","5.254800"
"0.600000","0.070000","4.366802","6.113600"
"0.600000","0.080000","4.333241","6.928400"
"0.600000","0.090000","3.864564","6.949600"
"0.600000","0.100000","3.328824","6.641600"
"0.600000","0.110000","2.829061","6.234000"
"0.600000","0.120000","2.531153","6.040000"
"0.600000","0.130000","2.316112","5.996400"
"0.600000","0.140000","2.124268","5.962000"
"0.600000","0.150000","1.933862","5.860000"
"0.600000","0.160000","1.795856","5.740800"
"0.600000","0.170000","1.689438","5.722800"
"0.600000","0.180000","1.573738","5.632800"
"0.600000","0.190000","1.462732","5.544000"
"0.600000","0.200000","1.389356","5.532000"
"0.600000","0.210000","1.286929","5.439200"
"0.600000","0.220000","1.219233","5.368800"
"0.600000","0.230000","1.154305","5.303600"
"0.600000","0.240000","1.086304","5.182000"
"0.600000","0.250000","1.034616","5.197600"
"0.600000","0.260000","0.973179","5.031600"
"0.600000","0.270000","0.929751","5.012000"
"0.600000","0.280000","0.887113","4.922800"
"0.600000","0.290000","0.841487","4.914400"
"0.600000","0.300000","0.804014","4.815600"
"0.600000","0.310000","0.762251","4.782400"
"0.600000","0.320000","0.731929","4.646400"
"0.600000","0.330000","0.700440","4.661200"
"0.600000","0.340000","0.667567","4.529600"
"0.600000","0.350000","0.636941","4.419600"
"0.600000","0.360000","0.609666","4.407600"
"0.600000","0.370000","0.581360","4.338400"
"0.600000","0.380000","0.558721","4.248400"
"0.600000","0.390000","0.532409","4.146800"
"0.600000","0.400000","0.511755","4.089200"
"0.600000","0.410000","0.487819","4.005200"
"0.600000","0.420000","0.468162","3.932400"
"0.600000","0.430000","0.447089","3.840000"
"0.600000","0.440000","0.428656","3.769200"
"0.600000","0.450000","0.410818","3.731200"
"0.600000","0.460000","0.392678","3.616400"
"0.600000","0.470000","0.377466","3.542000"
"0.600000","0.480000","0.361647","3.478000"
"0.600000","0.490000","0.346933","3.412000"
"0.600000","0.500000","0.332397","3.336000"
"0.600000","0.510000","0.318634","3.254400"
"0.600000","0.520000","0.305356","3.192800"
"0.600000","0.530000","0.293666","3.108000"
"0.600000","0.540000","0.281950","3.058800"
"0.600000","0.550000","0.271447","2.973600"
"0.600000","0.560000","0.259840","2.914400"
"0.600000","0.570000","0.249725","2.853600"
"0.600000","0.580000","0.239948","2.780800"
"0.600000","0.590000","0.230673","2.718800"
"0.600000","0.600000","0.221128","2.645600"
"0.600000","0.610000","0.212767","2.591600"
"0.600000","0.620000","0.204261","2.528000"
"0.600000","0.630000","0.195838","2.465200"
"0.600000","0.640000","0.188060","2.400000"
"0.600000","0.650000","0.180414","2.342800"
"0.600000","0.660000","0.173309","2.295200"
"0.600000","0.670000","0.166124","2.231600"
"0.600000","0.680000","0.159151","2.166400"
"0.600000","0.690000","0.152644","2.106800"
"0.600000","0.700000","0.145938","2.053200"
"0.600000","0.710000","0.139653","1.982400"
"0.600000","0.720000","0.133297","1.915200"
"0.600000","0.730000","0.127525","1.859200"
"0.600000","0.740000","0.121537","1.803600"
"0.600000","0.750000","0.115604","1.738800"
"0.600000","0.760000","0.110046","1.680800"
"0.600000","0.770000","0.104774","1.614400"
"0.600000","0.780000","0.099253","1.547600"
"0.600000","0.790000","0.094073","1.487200"
"0.600000","0.800000","0.086780","1.412800"
"0.600000","0.810000","0.081535","1.335600"
"0.600000","0.820000","0.076192","1.261600"
"0.600000","0.830000","0.071168","1.186800"
"0.600000","0.840000","0.066307","1.123600"
"0.600000","0.850000","0.061626","1.056000"
"0.600000","0.860000","0.057064","0.989600"
"0.600000","0.870000","0.052627","0.928000"
"0.600000","0.880000","0.048055","0.862000"
"0.600000","0.890000","0.043637","0.787200"
"0.600000","0.900000","0.039641","0.734000"
"0.600000","0.910000","0.035553","0.666800"
"0.600000","0.920000","0.031689","0.608400"
"0.600000","0.930000","0.027536","0.535600"
"0.600000","0.940000","0.023603","0.470800"
"0.600000","0.950000","0.019635","0.397600"
"0.600000","0.960000","0.015820","0.320000"
"0.600000","0.970000","0.011826","0.240000"
"0.600000","0.980000","0.007958","0.160000"
"0.600000","0.990000","0.003976","0.080000"
