"prob.","density","avgSpeed","Flow"
"0.400000","0.280000","1.191741","6.672000"
"0.400000","0.290000","1.136849","6.590000"
"0.400000","0.300000","1.088693","6.541200"
"0.400000","0.310000","1.039630","6.447200"
"0.400000","0.320000","0.996739","6.373200"
"0.400000","0.330000","0.949796","6.271600"
"0.400000","0.340000","0.913909","6.200800"
"0.400000","0.350000","0.876591","6.142400"
"0.400000","0.360000","0.841648","6.052800"
"0.400000","0.370000","0.808080","5.968000"
"0.400000","0.380000","0.776130","5.889600"
"0.400000","0.390000","0.747582","5.835200"
"0.400000","0.400000","0.720143","5.747200"
"0.400000","0.410000","0.692712","5.679600"
"0.400000","0.420000","0.665222","5.580400"
"0.400000","0.430000","0.641567","5.522800"
"0.400000","0.440000","0.616293","5.413200"
"0.400000","0.450000","0.594121","5.343600"
"0.400000","0.460000","0.570327","5.250400"
"0.400000","0.470000","0.550599","5.184400"
"0.400000","0.480000","0.531488","5.095200"
"0.400000","0.490000","0.510532","5.003200"
"0.400000","0.500000","0.492468","4.915200"
"0.400000","0.510000","0.475307","4.842800"
"0.400000","0.520000","0.457879","4.775600"
"0.400000","0.530000","0.440767","4.679200"
"0.400000","0.540000","0.425295","4.587200"
"0.400000","0.550000","0.408819","4.495200"
"0.400000","0.560000","0.394016","4.413200"
"0.400000","0.570000","0.378499","4.311200"
"0.400000","0.580000","0.365716","4.233200"
"0.400000","0.590000","0.351807","4.148800"
"0.400000","0.600000","0.338527","4.075600"
"0.400000","0.610000","0.325855","3.989600"
"0.400000","0.620000","0.313253","3.862800"
"0.400000","0.630000","0.300920","3.792800"
"0.400000","0.640000","0.289486","3.698400"
"0.400000","0.650000","0.277768","3.613200"
"0.400000","0.660000","0.266941","3.527200"
"0.400000","0.670000","0.255894","3.440000"
"0.400000","0.680000","0.245546","3.337200"
"0.400000","0.690000","0.235479","3.257200"
"0.400000","0.700000","0.225016","3.148800"
"0.400000","0.710000","0.215133","3.058800"
"0.400000","0.720000","0.206068","2.962000"
"0.400000","0.730000","0.196512","2.871600"
"0.400000","0.740000","0.187376","2.773600"
"0.400000","0.750000","0.178706","2.687600"
"0.400000","0.760000","0.169880","2.582000"
"0.400000","0.770000","0.161676","2.489200"
"0.400000","0.780000","0.152990","2.378800"
"0.400000","0.790000","0.144821","2.289600"
"0.400000","0.800000","0.133392","2.209600"
"0.400000","0.810000","0.125791","2.113600"
"0.400000","0.820000","0.118099","2.008800"
"0.400000","0.830000","0.110574","1.904800"
"0.400000","0.840000","0.103293","1.803200"
"0.400000","0.850000","0.096286","1.717600"
"0.400000","0.860000","0.089262","1.607200"
"0.400000","0.870000","0.082416","1.501600"
"0.400000","0.880000","0.075588","1.406400"
"0.400000","0.890000","0.068653","1.296000"
"0.400000","0.900000","0.062197","1.192000"
"0.400000","0.910000","0.055499","1.074400"
"0.400000","0.920000","0.049190","0.954400"
"0.400000","0.930000","0.042719","0.838000"
"0.400000","0.940000","0.036507","0.716800"
"0.400000","0.950000","0.030264","0.598000"
"0.400000","0.960000","0.024130","0.480000"
"0.400000","0.970000","0.018082","0.360000"
"0.400000","0.980000","0.012045","0.240400"
"0.400000","0.990000","0.006008","0.121200"
"0.600000","0.010000","4.396448","0.880000"
"0.600000","0.020000","4.393548","1.758800"
"0.600000","0.030000","4.388552","2.635200"
"0.600000","0.040000","4.385154","3.506800"
"0.600000","0.050000","4.373906","4.374000"
"0.600000","0.060000","4.269037","5.124400"
"0.600000","0.070000","3.860750","5.402000"
"0.600000","0.080000","3.463860","5.546800"
"0.600000","0.090000","3.096877","5.577600"
"0.600000","0.100000","2.639759","5.261600"
"0.600000","0.110000","2.342847","5.147200"
"0.600000","0.120000","2.116226","5.068800"
"0.600000","0.130000","1.936891","5.044000"
"0.600000","0.140000","1.762160","4.910000"
"0.600000","0.150000","1.643096","4.934400"
"0.600000","0.160000","1.512581","4.822000"
"0.600000","0.170000","1.420887","4.826800"
"0.600000","0.180000","1.325767","4.777600"
"0.600000","0.190000","1.252125","4.742400"
"0.600000","0.200000","1.172438","4.698000"
"0.600000","0.210000","1.103016","4.631600"
"0.600000","0.220000","1.043630","4.574800"
"0.600000","0.230000","0.986635","4.537600"
"0.600000","0.240000","0.937752","4.488000"
"0.600000","0.250000","0.892903","4.458400"
"0.600000","0.260000","0.849326","4.408800"
"0.600000","0.270000","0.810513","4.383200"
"0.600000","0.280000","0.773631","4.329600"
"0.600000","0.290000","0.737695","4.290400"
"0.600000","0.300000","0.704460","4.241600"
"0.600000","0.310000","0.674786","4.169200"
"0.600000","0.320000","0.645175","4.129600"
"0.600000","0.330000","0.617198","4.051600"
"0.600000","0.340000","0.591115","4.027200"
"0.600000","0.350000","0.568497","3.968400"
"0.600000","0.360000","0.544962","3.923600"
"0.600000","0.370000","0.526258","3.898000"
"0.600000","0.380000","0.501556","3.801200"
"0.600000","0.390000","0.481145","3.755600"
"0.600000","0.400000","0.463991","3.698000"
"0.600000","0.410000","0.447480","3.679600"
"0.600000","0.420000","0.429253","3.606000"
"0.600000","0.430000","0.413333","3.554800"
"0.600000","0.440000","0.398436","3.506800"
"0.600000","0.450000","0.381970","3.434000"
"0.600000","0.460000","0.368656","3.390400"
"0.600000","0.470000","0.355162","3.330000"
"0.600000","0.480000","0.342019","3.285600"
"0.600000","0.490000","0.329555","3.223600"
"0.600000","0.500000","0.317506","3.171200"
"0.600000","0.510000","0.305799","3.124400"
"0.600000","0.520000","0.294066","3.069200"
"0.600000","0.530000","0.284026","3.006800"
"0.600000","0.540000","0.273099","2.956400"
"0.600000","0.550000","0.262547","2.880800"
"0.600000","0.560000","0.253236","2.826800"
"0.600000","0.570000","0.243495","2.790000"
"0.600000","0.580000","0.234043","2.720400"
"0.600000","0.590000","0.225746","2.677200"
"0.600000","0.600000","0.217182","2.612000"
"0.600000","0.610000","0.208712","2.540800"
"0.600000","0.620000","0.200748","2.485600"
"0.600000","0.630000","0.192936","2.427600"
"0.600000","0.640000","0.185526","2.384000"
"0.600000","0.650000","0.178505","2.318400"
"0.600000","0.660000","0.170653","2.250400"
"0.600000","0.670000","0.164190","2.194000"
"0.600000","0.680000","0.156934","2.143200"
"0.600000","0.690000","0.150602","2.080800"
"0.600000","0.700000","0.144459","2.020400"
"0.600000","0.710000","0.138310","1.965600"
"0.600000","0.720000","0.132053","1.908400"
"0.600000","0.730000","0.125870","1.841200"
"0.600000","0.740000","0.120365","1.781200"
"0.600000","0.750000","0.114583","1.711600"
"0.600000","0.760000","0.109233","1.662400"
"0.600000","0.770000","0.103703","1.596000"
"0.600000","0.780000","0.098511","1.534800"
"0.600000","0.790000","0.093281","1.477200"
"0.600000","0.800000","0.084336","1.354800"
"0.600000","0.810000","0.079789","1.295600"
"0.600000","0.820000","0.074854","1.230400"
"0.600000","0.830000","0.070446","1.167600"
"0.600000","0.840000","0.065726","1.102400"
"0.600000","0.850000","0.061525","1.044000"
"0.600000","0.860000","0.056585","0.966000"
"0.600000","0.870000","0.052680","0.920400"
"0.600000","0.880000","0.048190","0.848400"
"0.600000","0.890000","0.043922","0.789200"
"0.600000","0.900000","0.039846","0.720800"
"0.600000","0.910000","0.035563","0.657600"
"0.600000","0.920000","0.031510","0.593200"
"0.600000","0.930000","0.027603","0.533600"
"0.600000","0.940000","0.023653","0.468000"
"0.600000","0.950000","0.019788","0.397600"
"0.600000","0.960000","0.015728","0.320000"
"0.600000","0.970000","0.011835","0.240000"
"0.600000","0.980000","0.007934","0.160000"
"0.600000","0.990000","0.003978","0.080000"
